step,epoch,loss,eval_loss,learning_rate
10,0.03929273084479371,1.3250104904174804,,0.00012
20,0.07858546168958742,0.230071759223938,,0.00019996777773909093
30,0.11787819253438114,0.17210447788238525,,0.0001996055157401834
40,0.15717092337917485,0.13737399578094484,,0.00019884217748453623
50,0.19646365422396855,0.12305645942687989,,0.00019768083666588953
60,0.2357563850687623,0.10643190145492554,,0.0001961261695938319
70,0.275049115913556,0.08666637539863586,,0.00019418443636395248
80,0.3143418467583497,0.0869634509086609,,0.00019186345565064535
90,0.35363457760314343,0.08641100525856019,,0.00018917257322406734
100,0.3929273084479371,0.07826942801475525,,0.00018612262431802007
110,0.43222003929273084,0.09548404216766357,,0.00018272589000028772
120,0.4715127701375246,0.0867882490158081,,0.00017899604772111163
130,0.5108055009823183,0.09594410061836242,,0.0001749481162389254
140,0.550098231827112,0.1047721266746521,,0.00017059839514511565
150,0.5893909626719057,0.07062835693359375,,0.00016596439923132017
160,0.6286836935166994,0.07556344866752625,,0.00016106478796354382
170,0.6679764243614931,0.07281720638275146,,0.0001559192903470747
180,0.7072691552062869,0.046751967072486876,,0.000150548625484743
190,0.7465618860510805,0.07797491550445557,,0.0001449744191484066
200,0.7858546168958742,0.0605887234210968,,0.00013921911669960055
210,0.825147347740668,0.06011388301849365,,0.00013330589270998808
220,0.8644400785854617,0.07296825647354126,,0.0001272585576455398
230,0.9037328094302554,0.0697986364364624,,0.000121101461990191
240,0.9430255402750491,0.06274020671844482,,0.00011485939819503717
250,0.9823182711198428,0.07847226858139038,,0.00010855750084788398
255,1.0,,0.041340313851833344,
260,1.0196463654223968,0.04618143141269684,,0.00010222114546513295
270,1.0589390962671905,0.0402356743812561,,9.587584631353329e-05
280,1.0982318271119842,0.04082987308502197,,8.954715367323468e-05
290,1.137524557956778,0.04837896823883057,,8.326055095582694e-05
300,1.1768172888015718,0.03936052024364471,,7.704135209163589e-05
310,1.2161100196463654,0.03923617005348205,,7.09145995994601e-05
320,1.2554027504911591,0.032480621337890626,,6.490496374918647e-05
330,1.2946954813359528,0.04987417757511139,,5.9036643223320475e-05
340,1.3339882121807465,0.04133370220661163,,5.333326767743263e-05
350,1.3732809430255402,0.03629255890846252,,4.7817802591875426e-05
360,1.412573673870334,0.0347058892250061,,4.251245679789928e-05
370,1.4518664047151277,0.03388982117176056,,3.7438593050527845e-05
380,1.4911591355599214,0.04023354947566986,,3.2616642008283213e-05
390,1.530451866404715,0.026925674080848692,,2.8066019966134904e-05
400,1.569744597249509,0.028024619817733763,,2.3805050672932928e-05
410,1.6090373280943027,0.036659848690032956,,1.985089154813846e-05
420,1.6483300589390963,0.033335369825363156,,1.621946459495127e-05
430,1.68762278978389,0.02479444444179535,,1.2925392288022298e-05
440,1.7269155206286837,0.03071686625480652,,9.98193869390922e-06
450,1.7662082514734774,0.03151128590106964,,7.400956061361974e-06
460,1.805500982318271,0.030772680044174196,,5.192837096500058e-06
470,1.8447937131630647,0.0236246719956398,,3.3664731150531482e-06
480,1.8840864440078584,0.03302605748176575,,1.9292182401707603e-06
490,1.9233791748526523,0.025101011991500853,,8.868597899638898e-07
500,1.962671905697446,0.025510206818580627,,2.4359497401758024e-07
510,2.0,0.027070921659469605,,2.0139927093487664e-09
510,2.0,,0.03107558749616146,
510,2.0,,,
