clip_ratio/high_max,clip_ratio/high_mean,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/region_mean,completions/clipped_ratio,completions/max_length,completions/max_terminated_length,completions/mean_length,completions/mean_terminated_length,completions/min_length,completions/min_terminated_length,entropy,epoch,frac_reward_zero_std,grad_norm,kl,learning_rate,loss,num_tokens,reward,reward_std,rewards/verifiable_reward/mean,rewards/verifiable_reward/std,step,step_time,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.0,0.0,0.0,0.0,0.0,0.35,54.4,13.0,28.65,9.641666793823243,7.4,7.4,0.047609139315318315,0.006119951040391677,0.95,0.0021209716796875,0.00015865288658121202,4.866666666666666e-07,8.931579941418022e-06,45000.0,0.625,0.48400617241859434,0.625,0.48400617241859434,5,15.041368871182204,,,,,
0.0,0.0,0.0,0.0,0.0,0.15,33.8,13.2,18.05,9.866666793823242,6.8,6.8,0.07829770215321333,0.012239902080783354,0.95,1.0234375,0.00042471478451656665,4.6999999999999995e-07,9.733448678161949e-06,77208.0,0.775,0.36277919411659243,0.775,0.36277919411659243,10,12.45988460406661,,,,,
0.0,0.0,0.0,0.0,0.0,0.3,44.8,15.2,27.075,11.7,9.4,9.4,0.074410112015903,0.01835985312117503,0.9,0.00093841552734375,8.773591791637614e-05,4.5333333333333326e-07,3.6015266232425346e-06,110071.0,0.55,0.41916738748550414,0.55,0.41916738748550414,15,12.010661489516497,,,,,
0.0,0.0,0.0,0.0,0.0,0.2,43.4,11.4,20.225,9.366666698455811,7.4,7.4,0.05630190870724618,0.02447980416156671,0.9,1.25,0.00021953702244590368,4.3666666666666663e-07,9.436613618163392e-06,157772.0,0.7,0.38802950978279116,0.7,0.38802950978279116,20,13.43027953505516,,,,,
0.0,0.0,0.0,0.0,0.0,0.15,35.2,16.0,18.65,10.833333396911621,7.8,7.8,0.06267633945681154,0.030599755201958383,1.0,0.0004062652587890625,9.606573850470256e-05,4.1999999999999995e-07,6.17576515651308e-06,193088.0,0.8,0.21380898952484131,0.8,0.21380898952484131,25,12.689404226094485,,,,,
0.0,0.0,0.0,0.0,0.0,0.15,35.4,14.8,19.2,11.075,7.4,7.4,0.07388698672875763,0.03671970624235006,0.9,0.0311279296875,9.069651894009212e-05,4.033333333333333e-07,4.59328293800354e-06,213338.0,0.8,0.20701968669891357,0.8,0.20701968669891357,30,9.64539010822773,,,,,
0.0,0.0,0.0,0.0,0.0,0.35,64.0,18.8,31.15,13.766666793823243,11.0,11.0,0.11209161975421011,0.042839657282741736,0.95,0.000392913818359375,0.0002046158037666279,3.8666666666666664e-07,8.287790114991367e-06,249436.0,0.525,0.5168053388595581,0.525,0.5168053388595581,35,14.911924442648887,,,,,
0.0,0.0,0.0,0.0,0.0,0.45,64.0,10.4,33.75,9.16666669845581,7.0,7.0,0.06885396807920188,0.04895960832313342,0.85,0.001922607421875,0.00019761100285311528,3.7e-07,1.0273861698806286e-05,291672.0,0.375,0.49153935313224795,0.375,0.49153935313224795,40,14.97715146765113,,,,,
0.0,0.0,0.0,0.0,0.0,0.25,44.6,14.2,24.05,10.108333396911622,6.0,6.0,0.07253985721617937,0.05507955936352509,0.9,0.00083160400390625,7.152637221424785e-05,3.533333333333333e-07,3.857037881971337e-06,324238.0,0.7,0.3593845427036285,0.7,0.3593845427036285,45,13.343187467753888,,,,,
0.0,0.0,0.0,0.0,0.0,0.3,44.8,11.8,26.425,9.725,7.0,7.0,0.07051104959100485,0.06119951040391677,0.85,0.0019683837890625,0.0003499632348963555,3.3666666666666664e-07,-0.01008877158164978,356979.0,0.625,0.38463485836982725,0.625,0.38463485836982725,50,11.964550908654928,,,,,
