clip_ratio/high_max,clip_ratio/high_mean,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/region_mean,completions/clipped_ratio,completions/max_length,completions/max_terminated_length,completions/mean_length,completions/mean_terminated_length,completions/min_length,completions/min_terminated_length,entropy,epoch,frac_reward_zero_std,grad_norm,kl,learning_rate,loss,num_tokens,reward,reward_std,rewards/verifiable_reward/mean,rewards/verifiable_reward/std,step,step_time,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.0,0.0,0.0,0.0,0.0,0.4,64.0,13.4,31.6,9.633333492279053,6.2,6.2,0.05934995717834681,0.06731946144430845,0.85,0.0283203125,0.00036451361481388834,3.2e-07,-0.009480960667133331,402291.0,0.525,0.49569355249404906,0.525,0.49569355249404906,55,15.006202583014964,,,,,
0.0,0.0,0.0,0.0,0.0,0.25,64.0,13.0,23.3,9.73333387374878,7.0,7.0,0.07115902844816446,0.07343941248470012,0.95,0.005035400390625,0.00016272938091260736,3.033333333333333e-07,8.548062032787129e-06,437879.0,0.625,0.4881603717803955,0.625,0.4881603717803955,60,14.983676825463771,,,,,
0.0,0.0,0.0,0.0,0.0,0.35,64.0,13.8,30.025,11.833333587646484,10.2,10.2,0.10136058847419918,0.0795593635250918,0.8,0.04833984375,0.00019096076652331818,2.866666666666667e-07,5.731232886319049e-06,473942.0,0.4,0.4949340045452118,0.4,0.4949340045452118,65,14.975991301983594,,,,,
0.0,0.0,0.0,0.0,0.0,0.2,43.0,12.6,20.15,9.466666793823242,6.0,6.0,0.09189411955885589,0.08567931456548347,0.95,0.00775146484375,0.00029365113084054426,2.7e-07,1.7131365893874317e-05,500398.0,0.725,0.39557836055755613,0.725,0.39557836055755613,70,10.335356155782938,,,,,
0.0,0.0,0.0,0.0,0.0,0.35,64.0,16.2,30.675,13.150000190734863,11.2,11.2,0.09576679745223374,0.09179926560587515,1.0,0.00156402587890625,0.0003500952612306207,2.533333333333333e-07,1.0531886800890788e-05,542697.0,0.6,0.4772325396537781,0.6,0.4772325396537781,75,14.983958646655083,,,,,
0.0,0.0,0.0,0.0,0.0,0.25,54.4,16.0,24.075,11.200000190734864,8.2,8.2,0.07591354842297733,0.09791921664626684,0.9,0.00087738037109375,0.00013985247196124373,2.3666666666666664e-07,-0.005375032126903534,575402.0,0.65,0.4065061926841736,0.65,0.4065061926841736,80,14.29002986624837,,,,,
0.0,0.0,0.0,0.0,0.0,0.3,44.8,13.2,26.025,8.983333396911622,6.0,6.0,0.04954243788961321,0.10403916768665851,0.95,0.00193023681640625,0.00013204633557634127,2.1999999999999998e-07,7.762679888401181e-06,614405.0,0.675,0.36277919411659243,0.675,0.36277919411659243,85,12.057897855341434,,,,,
0.0,0.0,0.0,0.0,0.0,0.25,54.4,13.2,24.075,10.591666984558106,7.8,7.8,0.05428755877073854,0.11015911872705018,1.0,0.003936767578125,7.922480193545134e-05,2.0333333333333333e-07,5.870960376341827e-06,653270.0,0.75,0.3846505284309387,0.75,0.3846505284309387,90,14.322945439070462,,,,,
0.0,0.0,0.0,0.0,0.0,0.25,64.0,13.2,23.725,10.300000190734863,7.0,7.0,0.07112808926030993,0.11627906976744186,0.9,0.0004673004150390625,0.0004469713378407181,1.8666666666666667e-07,-0.00420994758605957,695077.0,0.7,0.48476572036743165,0.7,0.48476572036743165,95,14.981411200016737,,,,,
0.0,0.0,0.0,0.0,0.0,0.25,44.8,14.6,24.2,10.775,7.4,7.4,0.05926651854533702,0.12239902080783353,1.0,0.006256103515625,0.00016105434345117242,1.7000000000000001e-07,8.302866626763717e-06,727773.0,0.75,0.30639100074768066,0.75,0.30639100074768066,100,11.94621459171176,,,,,
0.0,0.0,0.0,0.0,0.0,0.15,44.8,13.4,18.075,10.000000381469727,7.8,7.8,0.11315453182905913,0.12851897184822522,0.85,0.1142578125,0.00018598642384998199,1.533333333333333e-07,-0.012520325183868409,760216.0,0.625,0.49153935313224795,0.625,0.49153935313224795,105,11.940324580669403,,,,,
0.0,0.0,0.0,0.0,0.0,0.2,53.0,12.4,20.475,9.666666889190674,6.4,6.4,0.12640049862675368,0.1346389228886169,0.95,0.002777099609375,0.0006965203185584912,1.3666666666666665e-07,0.0027752356603741647,796187.0,0.525,0.5024828553199768,0.525,0.5024828553199768,110,14.401456438750028,,,,,
0.0,0.0,0.0,0.0,0.0,0.25,54.4,13.4,23.575,10.141666984558105,7.0,7.0,0.05209263297729194,0.14075887392900857,1.0,0.00026702880859375,0.0001483467836632335,1.2e-07,7.231879862956703e-06,835196.0,0.75,0.3846505284309387,0.75,0.3846505284309387,115,12.775415633618831,,,,,
0.0,0.0,0.0,0.0,0.0,0.2,54.4,14.6,22.0,11.358333587646484,7.6,7.6,0.10976967965252697,0.14687882496940025,0.95,0.00015163421630859375,0.00017599202507021517,1.0333333333333333e-07,-0.011667606979608535,867678.0,0.725,0.45536120533943175,0.725,0.45536120533943175,120,12.657543902844191,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,10.775,10.775,7.8,7.8,0.07195169543847442,0.15299877600979192,0.9,0.001983642578125,0.0001214958184855508,8.666666666666666e-08,5.071781924925745e-06,890457.0,0.9,0.23400336503982544,0.9,0.23400336503982544,125,9.646495895832777,,,,,
0.0,0.0,0.0,0.0,0.0,0.1,35.0,14.6,15.525,10.2,6.2,6.2,0.0664830788038671,0.1591187270501836,0.95,0.002288818359375,9.349431740304225e-05,7e-08,-0.007064041495323181,913746.0,0.775,0.36277919411659243,0.775,0.36277919411659243,130,11.42272158190608,,,,,
0.0,0.0,0.0,0.0,0.0,0.4,54.4,11.8,32.075,10.266666793823243,8.6,8.6,0.09983110134489834,0.16523867809057527,1.0,0.0010223388671875,0.0001597223218137156,5.3333333333333334e-08,6.109945388743654e-06,959005.0,0.55,0.4132954955101013,0.55,0.4132954955101013,135,12.702754126489163,,,,,
0.0,0.0,0.0,0.0,0.0,0.25,54.4,11.8,22.9,9.275000190734863,7.4,7.4,0.0860842689871788,0.17135862913096694,0.9,0.046630859375,0.00014174529603612208,3.6666666666666664e-08,5.505265289684758e-06,997711.0,0.6,0.4519665539264679,0.6,0.4519665539264679,140,14.238146856427193,,,,,
0.0,0.0,0.0,0.0,0.0,0.2,45.0,14.6,21.1,10.266666793823243,7.0,7.0,0.06593648793641478,0.17747858017135862,0.9,0.000701904296875,0.00012997682669401155,2e-08,-0.0007194718345999718,1030337.0,0.7,0.3139241814613342,0.7,0.3139241814613342,145,13.514361290633678,,,,,
0.0,0.0,0.0,0.0,0.0,0.2,43.4,14.8,22.025,11.725,7.2,7.2,0.09932082118466497,0.1835985312117503,1.0,0.00299072265625,0.00039020119552759527,3.3333333333333334e-09,1.432469580322504e-05,1063094.0,0.65,0.4132954955101013,0.65,0.4132954955101013,150,13.358458154648542,,,,,
,,,,,,,,,,,,,0.1835985312117503,,,,,,,,,,,150,,0.0,-0.0019394636088448654,2032.0195,0.591,0.074
