step,epoch,loss,eval_loss,learning_rate
5,0.06779661016949153,0.6228530883789063,,9.980973490458728e-06
10,0.13559322033898305,0.23845486640930175,,9.768584753741134e-06
15,0.2033898305084746,0.08071056604385377,,9.330127018922195e-06
20,0.2711864406779661,0.1409417510032654,,8.68638668405062e-06
25,0.3389830508474576,0.05137715935707092,,7.86788218175523e-06
30,0.4067796610169492,0.02521892786026001,,6.913417161825449e-06
35,0.4745762711864407,0.02883714735507965,,5.8682408883346535e-06
40,0.5423728813559322,0.046777695417404175,,4.781903063173321e-06
45,0.6101694915254238,0.023291705548763274,,3.705904774487396e-06
50,0.6779661016949152,0.034452897310256955,,2.6912569338248317e-06
55,0.7457627118644068,0.03325313329696655,,1.7860619515673034e-06
60,0.8135593220338984,0.01715148687362671,,1.0332332985438248e-06
65,0.8813559322033898,0.03830212652683258,,4.6846106481675035e-07
70,0.9491525423728814,0.025362566113471985,,1.185199644003332e-07
74,1.0,,0.04580757021903992,
74,1.0,,,
