step,epoch,loss,eval_loss,learning_rate
10,0.13266998341625208,3.003078269958496,,9.971864890244513e-05
20,0.26533996683250416,1.2258614540100097,,9.74868025135266e-05
30,0.39800995024875624,0.848050880432129,,9.312329625349902e-05
40,0.5306799336650083,0.7030638217926025,,8.682400583307562e-05
50,0.6633499170812603,0.6242863178253174,,7.88717033888274e-05
60,0.7960199004975125,0.6185067653656006,,6.962336397710819e-05
70,0.9286898839137645,0.5981932640075683,,5.949414113437142e-05
76,1.0,,0.6265948414802551,
80,1.0530679933665008,0.597620153427124,,4.893873083331882e-05
90,1.185737976782753,0.6100491523742676,,3.843096039798293e-05
100,1.3184079601990049,0.5627756118774414,,2.8442518621591086e-05
110,1.451077943615257,0.607066535949707,,1.9421781882055444e-05
120,1.5837479270315091,0.5609876632690429,,1.1773686740645384e-05
130,1.716417910447761,0.6232921600341796,,5.841552533269534e-06
140,1.8490878938640134,0.5770692348480224,,1.8916699295575324e-06
150,1.9817578772802653,0.5745987892150879,,1.0134727195937333e-07
152,2.0,,0.5996111035346985,
152,2.0,,,
