clip_ratio/high_max,clip_ratio/high_mean,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/region_mean,completions/clipped_ratio,completions/max_length,completions/max_terminated_length,completions/mean_length,completions/mean_terminated_length,completions/min_length,completions/min_terminated_length,entropy,epoch,frac_reward_zero_std,grad_norm,kl,learning_rate,loss,num_tokens,reward,reward_std,rewards/multimodal_verifiable_reward/mean,rewards/multimodal_verifiable_reward/std,step,step_time,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.7,6.125,6.125,5.55,5.55,0.7980149700306356,0.022222222222222223,0.9,0.005218505859375,0.0019826943283256073,4.833333333333333e-07,-0.002638470567762852,22499.0,0.3185671938583255,0.006330422312021256,0.3185671938583255,0.006330422312021256,5,8.121008233353496,,,,,
0.0,0.0,0.0,0.0,0.0,0.075,9.55,7.35,8.35,7.25,7.15,7.15,0.6950204130262136,0.044444444444444446,0.65,4.3125,0.0019673489432236123,4.625e-07,-0.016964809596538545,44455.0,0.3329519763588905,0.13000346317421646,0.3329519763588905,0.13000346317421646,10,7.354137759283185,,,,,
0.0,0.0,0.0,0.0,0.0,0.05,8.95,7.35,8.0,6.4,7.05,5.45,0.7420958024449646,0.06666666666666667,0.55,7.875,0.0033712739038946893,4.4166666666666664e-07,-0.033206477761268616,67109.0,0.19425245895981788,0.09756560567766429,0.19425245895981788,0.09756560567766429,15,7.333054191246629,,,,,
0.0,0.0,0.0,0.0,0.0,0.025,8.85,7.7,7.475,6.9,6.1,6.1,0.619146257918328,0.08888888888888889,0.6,0.90625,0.002980665489713985,4.208333333333333e-07,-0.03989934027194977,87890.0,0.4298140726983547,0.22829892262816429,0.4298140726983547,0.22829892262816429,20,6.824842290394008,,,,,
0.0,0.0,0.0,0.0,0.0,0.075,10.1,7.7,8.525,7.325,6.95,6.95,0.6668538812547922,0.1111111111111111,0.4,1.3984375,0.0010820729614958503,4e-07,-0.017701104283332825,109651.0,0.4144353520125151,0.22640535198152065,0.4144353520125151,0.22640535198152065,25,7.163174437358975,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,7.5,7.5,7.0,7.0,0.5429257787764072,0.13333333333333333,0.65,1.0390625,0.0031400869153079825,3.7916666666666665e-07,0.0002648774068802595,130547.0,0.3135249450802803,0.1892427012324333,0.3135249450802803,0.1892427012324333,30,6.624884115718305,,,,,
0.0,0.0,0.0,0.0,0.0,0.05,10.85,9.6,9.225,8.6,7.6,7.6,0.6639912728220224,0.15555555555555556,0.65,2.828125,0.0011246037545646459,3.583333333333333e-07,-0.0053060419857501985,150664.0,0.4193459045141935,0.08709115409292281,0.4193459045141935,0.08709115409292281,35,6.726027943380177,,,,,
0.0,0.0,0.0,0.0,0.0,0.025,8.25,6.95,7.275,6.625,6.3,6.3,0.6095148773863912,0.17777777777777778,0.7,1.8828125,0.001374488536561813,3.375e-07,0.024884754419326784,173329.0,0.3779629642143846,0.09087631544098258,0.3779629642143846,0.09087631544098258,40,7.396818256564439,,,,,
0.0,0.0,0.0,0.0,0.0,0.1,10.55,8.55,9.85,8.05,9.15,7.55,0.8720104503445327,0.2,0.5,5.125,0.001988501927793607,3.166666666666666e-07,-0.005054955184459686,197793.0,0.27687838301062584,0.13025391045957804,0.27687838301062584,0.13025391045957804,45,8.180889184772969,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.6,6.3,6.3,6.0,6.0,0.5807040436193347,0.2222222222222222,0.75,0.051513671875,0.0015547947103112137,2.9583333333333334e-07,0.0059922076761722565,218527.0,0.3218750001862645,0.12285980097949505,0.3218750001862645,0.12285980097949505,50,6.520213446952402,,,,,
